enrollno,marks,rank
21002170110041,25,1
21002170110042,25,1
21002170110133,25,1
21002170210071,25,1
21002170110097,24.5,5
21002170210066,24.5,5
21002170210085,24.5,5
21002170110208,24,8
21002170110009,24,8
21002170110127,24,8
21002170110069,24,8
21002170110081,24,8
21002170510021,24,8
21002170110140,24,8
21002170110096,24,8
21002170110074,24,8
21002171210034,24,8
21002171210075,24,8
21002170310039,24,8
21002170410033,24,8
21002170410014,24,8
21002170410032,24,8
21002170110152,23.5,23
21002170110156,23.5,23
21002170210056,23.5,23
21002170210035,23.5,23
21002170110194,23,27
21002170110079,23,27
21002170110182,23,27
21002170110139,23,27
21002170110011,23,27
21002170110159,23,27
21002170110174,23,27
21002170110143,23,27
21002170110091,23,27
21002170110067,23,27
21002170110144,23,27
21002170110196,23,27
21002171210200,23,27
21002170210015,23,27
21002170410015,23,27
21002170410002,23,27
21002170610021,23,27
21002170110147,22.5,44
21002170110038,22.5,44
22002170220050,22.5,44
22002170120007,22.5,44
22002170120010,22.5,44
21002170110071,22.5,44
21002170210094,22.5,44
21002170110162,22,51
21002170110157,22,51
21002170110129,22,51
21002170110019,22,51
21002170110170,22,51
21002170110035,22,51
22002170220021,22,51
22002171220039,22,51
21002171210177,22,51
21002170210049,22,51
21002170210021,22,51
21002170110110,21.5,62
21002170110183,21.5,62
21002170110080,21.5,62
21002170110186,21.5,62
21002170110145,21.5,62
21002170110167,21.5,62
21002171210135,21.5,62
21002170210027,21.5,62
21002170310022,21.5,62
21002170610005,21.5,62
21002170210025,21.5,62
21002170110123,21,73
21002170110028,21,73
21002170110062,21,73
21002170510028,21,73
21002170110063,21,73
21002170110205,21,73
21002170110178,21,73
21002170110004,21,73
21002170510037,21,73
21002170110057,21,73
21002170110025,21,73
21002170510003,21,73
21002170110149,21,73
21002171210151,21,73
21002171210043,21,73
21002171210047,21,73
21002171210109,21,73
21002171210029,21,73
22002170420002,21,73
21002170210060,21,73
21002170210083,21,73
21002170210053,21,73
21002170310020,21,73
21002170210019,21,73
21002170410027,21,73
21002170410004,21,73
21002170410040,21,73
21002171210108,20.8,100
21002170110206,20.5,101
21002170110059,20.5,101
21002170110052,20.5,101
21002171210022,20.5,101
21002171210065,20.5,101
21002170210065,20.5,101
21002170210059,20.5,101
21002170410020,20.5,101
21002170210048,20.5,101
21002170310037,20.5,101
